,ID,year,month,quarter,country,gender,age,visit_purpose,num_visits,revisit_indicator,travel_type,satisfaction,revisit_intent,recommend_intent,visit_local_indicator,seoul,gyeonggi,incheon,gangwon,chungcheong,gyeongsang,jeolla,jeju,planned_activity,stay_duration,total_duration,total_expense,accommodation_cost,food_cost,shopping_cost,accommodation_percent,food_percent,shopping_percent,food,landscape,heritage,language,safety,budget,accommodation,transport,navigation,cluster
343,488.0,2024,1,1,2,2,5,1,4,1,1,5,5,5,1,1,0,0,0,0,0,1,0,4.0,6.0,7.0,1808.64,489.84000000000003,263.76,301.44,0.2708333333333333,0.14583333333333331,0.16666666666666666,5,5,5,5,5,5,5,5,5,0
362,508.0,2024,1,1,4,1,2,1,1,0,1,4,3,4,1,1,1,0,1,0,1,1,0,2.0,9.0,10.0,2196.3499999999995,376.32165109034264,290.79400311526473,102.63317757009344,0.17133956386292837,0.132398753894081,0.04672897196261683,4,4,5,3,5,4,4,5,4,5
373,520.0,2024,1,1,2,2,5,1,2,1,1,5,4,4,2,0,0,0,0,0,1,0,0,2.0,4.0,5.0,1733.2800000000002,150.72000000000003,113.04000000000002,678.2400000000001,0.08695652173913045,0.06521739130434782,0.391304347826087,5,4,4,5,5,4,4,4,3,0
381,529.0,2024,1,1,2,1,2,1,1,0,1,5,5,5,1,1,1,0,0,0,0,0,0,2.0,5.0,6.0,1695.6000000000004,450.9074792243768,187.87811634349032,375.75623268698064,0.26592797783933514,0.11080332409972297,0.22160664819944595,5,5,5,4,5,4,5,5,4,5
388,536.0,2024,1,1,4,1,3,1,1,0,1,4,4,4,1,1,0,0,1,0,0,0,0,2.0,6.0,7.0,2474.9999999999995,369.84459055588763,443.81350866706515,119.08995815899581,0.14943215780035868,0.1793185893604304,0.04811715481171549,4,3,5,3,5,3,3,4,2,5
399,549.0,2024,1,1,2,1,3,1,1,0,1,4,5,5,2,0,0,0,0,0,1,0,0,2.0,6.0,7.0,1106.9999999999998,119.92155397833395,186.08516996638025,330.81807994023154,0.10833022039596564,0.16809861785580876,0.2988419872992156,4,4,5,3,5,5,5,5,5,5
403,558.0,2024,1,1,2,1,2,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,0,2.0,6.0,7.0,1048.7204000000002,153.8841379310345,184.6609655172414,115.41310344827589,0.1467351430667645,0.1760821716801174,0.11005135730007339,5,5,5,3,5,4,5,4,3,5
404,559.0,2024,1,1,2,1,5,1,3,1,1,5,5,4,2,0,0,0,0,0,1,0,0,2.0,4.0,5.0,853.9580400000002,0.14979092089107174,0.0,269.6236576039292,0.00017540782318891418,0.0,0.3157340817400456,5,4,4,5,5,5,5,4,5,4
423,590.0,2024,1,1,4,2,5,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,2.0,4.0,5.0,2703.2,249.9876695437731,99.99506781750924,166.6584463625154,0.09247842170160296,0.036991368680641186,0.06165228113440197,4,4,5,3,5,4,5,5,4,2
426,598.0,2024,1,1,1,2,3,1,1,0,1,4,4,4,1,1,0,0,1,0,0,0,0,3.0,4.0,5.0,944.775,161.6381522668948,32.32763045337896,121.2286142001711,0.17108639863130884,0.03421727972626176,0.1283147989734816,4,4,5,4,4,4,3,3,4,6
432,606.0,2024,1,1,99,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,9.0,10.0,2588.9655,492.615,547.35,218.94,0.19027484143763215,0.21141649048625796,0.08456659619450317,5,5,5,3,5,5,5,5,5,2
